"page","results__backdrop_path","results__id","results__title","results__original_title","results__overview","results__poster_path","results__media_type","results__adult","results__original_language","results__genre_ids__001","results__genre_ids__002","results__genre_ids__003","results__genre_ids__004","results__genre_ids__005","results__popularity","results__release_date","results__video","results__vote_average","results__vote_count","total_pages","total_results"
"1","/xi1VSt3DtkevUmzCx2mNlCoDe74.jpg","917496","Beetlejuice Beetlejuice","Beetlejuice Beetlejuice","After a family tragedy, three generations of the Deetz family return home to Winter River. Still haunted by Betelgeuse, Lydia's life is turned upside down when her teenage daughter, Astrid, accidentally opens the portal to the Afterlife.","/kKgQzkUCnQmeTPkyIwHly2t6ZFI.jpg","movie","False","en","35","14","27","","","1703.146","2024-09-04","False","7.203","973","1000","20000"
"","/78CquSA0GN0m7NIYnNECx91KFkJ.jpg","1087822","Hellboy: The Crooked Man","Hellboy: The Crooked Man","Hellboy and a rookie BPRD agent get stranded in 1950s rural Appalachia. There, they discover a small community haunted by witches, led by a local devil with a troubling connection to Hellboy's past: the Crooked Man.","/iz2GabtToVB05gLTVSH7ZvFtsMM.jpg","movie","False","en","14","27","28","12","","248.681","2024-08-29","False","4.5","59","",""
"","/m25DNsLhsODTp0QhKIur4vIby8C.jpg","1186532","The Forge","The Forge","19 year old Isaiah Wright lives for basketball and video games. A year out of high school, he has no job, no plans, and no idea how to be a man. At odds with his single mother Cynthia, Isaiah is given an ultimatum – to step up or move out. Feeling the pull from his friends and the push from his mom, Isaiah is hired by Moore Fitness, unaware of how the owner will personally impact his life. With the prayers of his mother and unexpected guidance from his new mentor, Isaiah is forced to deal with his past, sacrifice his selfishness and discover how God might have a greater purpose for his life.","/vXW1I7HGZkeGUqw8QpGFiDA31Ih.jpg","movie","False","en","18","10751","","","","289.5","2024-08-22","False","6.3","17","",""
"","/reNf6GBzOe48l9WEnFOxXgW56Vg.jpg","889737","Joker: Folie à Deux","Joker: Folie à Deux","While struggling with his dual identity, Arthur Fleck not only stumbles upon true love, but also finds the music that's always been inside him.","/if8QiqCI7WAGImKcJCfzp6VTyKA.jpg","movie","False","en","18","80","53","","","1029.507","2024-10-01","False","5.8","593","",""
"","/yDHYTfA3R0jFYba16jBB1ef8oIt.jpg","533535","Deadpool & Wolverine","Deadpool & Wolverine","A listless Wade Wilson toils away in civilian life with his days as the morally flexible mercenary, Deadpool, behind him. But when his homeworld faces an existential threat, Wade must reluctantly suit-up again with an even more reluctant Wolverine.","/8cdWjvZQUExUUTzyp4t6EDMubfO.jpg","movie","False","en","28","35","878","","","3600.242","2024-07-24","False","7.728","4214","",""
"","/4zlOPT9CrtIX05bBIkYxNZsm5zN.jpg","1184918","The Wild Robot","The Wild Robot","After a shipwreck, an intelligent robot called Roz is stranded on an uninhabited island. To survive the harsh environment, Roz bonds with the island's animals and cares for an orphaned baby goose.","/wTnV3PCVW5O92JMrFvvrRcV39RU.jpg","movie","False","en","16","878","10751","","","1238.238","2024-09-12","False","7.9","138","",""
"","/3m0j3hCS8kMAaP9El6Vy5Lqnyft.jpg","1125510","The Platform 2","El hoyo 2","After a mysterious leader imposes his law in a brutal system of vertical cells, a new arrival battles against a dubious food distribution method.","/izuzUb0sDokqp9o8utVfsrSJuy5.jpg","movie","False","es","878","53","18","27","","1309.291","2024-09-27","False","5.738","381","",""
"","/vbAIe8DgAfrhkfwK8uiujXQEIoZ.jpg","863873","Caddo Lake","Caddo Lake","When an 8-year-old girl mysteriously vanishes on Caddo Lake, a series of past deaths and disappearances begin to link together, forever altering a broken family’s history.","/sv1IoM6xlCdAoOzUmgB9XTnADC.jpg","movie","False","en","9648","53","","","","62.772","2024-10-09","False","7.0","3","",""
"","/sIzZQdXY21sEks9lGkGuXzqdGSA.jpg","4011","Beetlejuice","Beetlejuice","A newly dead New England couple seeks help from a deranged demon exorcist to scare an affluent New York family out of their home.","/nnl6OWkyPpuMm595hmAxNW3rZFn.jpg","movie","False","en","14","35","","","","453.444","1988-03-30","False","7.377","7246","",""
"","/jf1V00dZdNkVfEq7VPk8frrlELk.jpg","748230","Salem's Lot","Salem's Lot","Author Ben Mears returns to his childhood home of Jerusalem's Lot only to discover his hometown is being preyed upon by a bloodthirsty vampire.","/j7ncdqBVufydVzVtxmXu8Ago4ox.jpg","movie","False","en","27","9648","","","","682.304","2024-10-03","False","6.33","185","",""
